row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
1,7062,"ENSG00000000003","TSPAN6",7105
2,40735,"ENSG00000000005","TNMD",64102
3,8736,"ENSG00000000419","DPM1",8813
4,36423,"ENSG00000000457","SCYL3",57147
5,35021,"ENSG00000000460","C1orf112",55732
6,2253,"ENSG00000000938","FGR",2268
7,3057,"ENSG00000000971","CFH",3075
8,2503,"ENSG00000001036","FUCA2",2519
9,2712,"ENSG00000001084","GCLC",2729
10,4769,"ENSG00000001167","NFYA",4800
11,59935,"ENSG00000001460","C1orf201",90529
12,36461,"ENSG00000001461","NIPAL3",57185
13,57559,"ENSG00000001497","LAS1L",81887
14,22631,"ENSG00000001561","ENPP4",22875
15,6369,"ENSG00000001617","SEMA3F",6405
16,1072,"ENSG00000001626","CFTR",1080
17,33758,"ENSG00000001629","ANKIB1",54467
18,1583,"ENSG00000001630","CYP51A1",1595
19,884,"ENSG00000001631","KRIT1",889
20,5861,"ENSG00000002016","RAD52",5893
21,58387,"ENSG00000002079","MYH16",84176
22,569,"ENSG00000002330","BAD",572
23,30538,"ENSG00000002549","LAP3",51056
24,4242,"ENSG00000002586","CD99",4267
25,9813,"ENSG00000002587","HS3ST1",9957
26,23,"ENSG00000002726","ABP1",26
27,30865,"ENSG00000002745","WNT16",51384
28,22827,"ENSG00000002746","HECW1",23072
29,8321,"ENSG00000002822","MAD1L1",8379
30,3902,"ENSG00000002834","LASP1",3927
31,29649,"ENSG00000002919","SNX11",29916
32,34654,"ENSG00000002933","TMEM176A",55365
33,4049,"ENSG00000003056","M6PR",4074
34,59880,"ENSG00000003096","KLHL13",90293
35,35883,"ENSG00000003137","CYP26B1",56603
36,3362,"ENSG00000003147","ICA1",3382
37,54847,"ENSG00000003249","DBNDD1",79007
38,36952,"ENSG00000003393","ALS2",57679
39,839,"ENSG00000003400","CASP10",843
40,8760,"ENSG00000003402","CFLAR",8837
41,6993,"ENSG00000003436","TFPI",7035
42,34760,"ENSG00000003509","C2orf56",55471
43,10035,"ENSG00000003756","RBM5",10181
44,8985,"ENSG00000003987","MTMR7",9108
45,6506,"ENSG00000003989","SLC7A2",6542
46,378,"ENSG00000004059","ARF5",381
47,22853,"ENSG00000004139","SARM1",23098
48,,"ENSG00000004142","POLDIP2",
49,22884,"ENSG00000004399","PLXND1",23129
50,201,"ENSG00000004455","AK2",204
51,947,"ENSG00000004468","CD38",952
52,2272,"ENSG00000004478","FKBP4",2288
53,22783,"ENSG00000004487","KDM1A",23028
54,10034,"ENSG00000004534","RBM6",10180
55,58464,"ENSG00000004660","CAMKK1",84254
56,5933,"ENSG00000004700","RECQL",5965
57,34899,"ENSG00000004766","CCDC132",55610
58,79143,"ENSG00000004776","HSPB6",126393
59,77694,"ENSG00000004777","ARHGAP33",115703
60,4680,"ENSG00000004779","NDUFAB1",4706
61,5134,"ENSG00000004799","PDK4",5166
62,59572,"ENSG00000004809","SLC22A16",85413
63,30845,"ENSG00000004838","ZMYND10",51364
64,109832,"ENSG00000004846","ABCB5",340273
65,81766,"ENSG00000004848","ARX",170302
66,10020,"ENSG00000004864","SLC25A13",10165
67,7936,"ENSG00000004866","ST7",7982
68,991,"ENSG00000004897","CDC27",996
69,6485,"ENSG00000004939","SLC4A1",6521
70,795,"ENSG00000004948","CALCR",799
71,3035,"ENSG00000004961","HCCS",3052
72,1844,"ENSG00000004975","DVL2",1856
73,40696,"ENSG00000005001","PRSS22",64063
74,5944,"ENSG00000005007","UPF1",5976
75,8856,"ENSG00000005020","SKAP2",8935
76,289,"ENSG00000005022","SLC25A5",292
77,34302,"ENSG00000005059","CCDC109B",55013
78,3187,"ENSG00000005073","HOXA11",3207
79,5407,"ENSG00000005075","POLR2J",5439
80,36198,"ENSG00000005100","DHX33",56919
81,4197,"ENSG00000005102","MEOX1",4222
82,85821,"ENSG00000005108","THSD7A",221981
83,3955,"ENSG00000005156","LIG3",3980
84,55460,"ENSG00000005175","RPAP3",79657
85,6262,"ENSG00000005187","ACSM3",6296
86,57373,"ENSG00000005189","AC004381.6",81691
87,36297,"ENSG00000005194","CIAPIN1",57019
88,36207,"ENSG00000005206","AC004410.1",56928
89,56057,"ENSG00000005238","KIAA1539",80256
90,30708,"ENSG00000005243","COPZ2",51226
91,5545,"ENSG00000005249","PRKAR2B",5577
92,10785,"ENSG00000005302","MSL3",10943
93,1378,"ENSG00000005339","CREBBP",1387
94,9129,"ENSG00000005379","BZRAP1",9256
95,4327,"ENSG00000005381","MPO",4353
96,5412,"ENSG00000005421","PON1",5444
97,6896,"ENSG00000005436","C2orf3",6936
98,58269,"ENSG00000005448","WDR54",84058
99,33968,"ENSG00000005469","CROT",54677
100,5212,"ENSG00000005471","ABCB4",5244
101,35191,"ENSG00000005483","MLL5",55904
102,36688,"ENSG00000005486","RHBDD2",57414
103,29803,"ENSG00000005513","SOX8",30812
104,25747,"ENSG00000005700","IBTK",25998
105,7704,"ENSG00000005801","ZNF195",7748
106,22832,"ENSG00000005810","MYCBP2",23077
107,25973,"ENSG00000005812","FBXL3",26224
108,3658,"ENSG00000005844","ITGAL",3683
109,5132,"ENSG00000005882","PDK2",5164
110,3650,"ENSG00000005884","ITGA3",3675
111,7500,"ENSG00000005889","ZFX",7543
112,3895,"ENSG00000005893","LAMP2",3920
113,55696,"ENSG00000005955","GGNBP2",79893
114,3649,"ENSG00000005961","ITGA2B",3674
115,31146,"ENSG00000005981","ASB4",51666
116,31053,"ENSG00000006007","GDE1",51573
117,34338,"ENSG00000006015","C19orf60",55049
118,9118,"ENSG00000006016","CRLF1",9244
119,77599,"ENSG00000006025","OSBPL7",114881
120,25771,"ENSG00000006042","TMEM98",26022
121,30569,"ENSG00000006047","YBX2",51087
122,3858,"ENSG00000006059","KRT33A",3883
123,8900,"ENSG00000006062","MAP3K14",9020
124,6793,"ENSG00000006071","ABCC8",6833
125,6327,"ENSG00000006074","CCL18",6362
126,6313,"ENSG00000006075","CCL3",6348
127,11115,"ENSG00000006114","SYNRG",11276
128,10221,"ENSG00000006116","CACNG3",10368
129,34261,"ENSG00000006118","TMEM132A",54972
130,160,"ENSG00000006125","AP2B1",163
131,6823,"ENSG00000006128","TAC1",6863
132,94107,"ENSG00000006194","ZNF263",283876
133,6340,"ENSG00000006210","CX3CL1",6376
134,41410,"ENSG00000006282","SPATA20",64847
135,8834,"ENSG00000006283","CACNA1G",8913
136,30811,"ENSG00000006327","TNFRSF12A",51330
137,1738,"ENSG00000006377","DLX6",1750
138,4268,"ENSG00000006432","MAP3K9",4293
139,5866,"ENSG00000006451","RALA",5898
140,35256,"ENSG00000006453","BAIAP2L1",55971
141,56624,"ENSG00000006459","JHDM1D",80853
142,2100,"ENSG00000006468","ETV1",2115
143,35039,"ENSG00000006530","AGK",55750
144,,"ENSG00000006534","ALDH3B1",
145,34290,"ENSG00000006555","TTC22",55001
146,36433,"ENSG00000006576","PHTF2",57157
147,10197,"ENSG00000006606","CCL26",10344
148,9711,"ENSG00000006607","FARP2",9855
149,9938,"ENSG00000006611","USH1C",10083
150,54857,"ENSG00000006625","GGCT",79017
151,10768,"ENSG00000006634","DBF4",10926
152,6875,"ENSG00000006638","TBXA2R",6915
153,3455,"ENSG00000006652","IFRD1",3475
154,36170,"ENSG00000006659","LGALS14",56891
155,1343,"ENSG00000006695","COX10",1352
156,9427,"ENSG00000006704","GTF2IRD1",9569
157,33914,"ENSG00000006712","PAF1",54623
158,26817,"ENSG00000006715","VPS41",27072
159,9768,"ENSG00000006740","ARHGAP44",9912
160,37988,"ENSG00000006744","ELAC2",60528
161,59625,"ENSG00000006747","SCIN",85477
162,411,"ENSG00000006756","ARSD",414
163,8176,"ENSG00000006757","PNPLA4",8228
164,8664,"ENSG00000006788","MYH13",8735
165,55405,"ENSG00000006831","ADIPOR2",79602
166,30746,"ENSG00000006837","CDKL3",51265
167,80994,"ENSG00000007001","UPP2",151531
168,10784,"ENSG00000007038","PRSS21",10942
169,37058,"ENSG00000007047","MARK4",57787
170,8765,"ENSG00000007062","PROM1",8842
171,77650,"ENSG00000007080","CCDC124",115098
172,59876,"ENSG00000007129","CEACAM21",90273
173,5016,"ENSG00000007168","PAFAH1B1",5048
174,4812,"ENSG00000007171","NOS2",4843
175,1758,"ENSG00000007174","DNAH9",1770
176,9559,"ENSG00000007202","KIAA0100",9703
177,8938,"ENSG00000007216","SLC13A2",9058
178,8456,"ENSG00000007237","GAS7",8522
179,54929,"ENSG00000007255","TRAPPC6A",79090
180,4120,"ENSG00000007264","MATK",4145
181,1079,"ENSG00000007306","CEACAM7",1087
182,969,"ENSG00000007312","CD79B",974
183,6294,"ENSG00000007314","SCN4A",6329
184,34168,"ENSG00000007341","ST7L",54879
